PIN ROW COL PIO BANK FUNCTION | config
L3   R32  C0   C bank6                         | -
L4   R29  C0   C bank6  GR_PCLK6_1             | -
L5   R29  C0   D bank6                         | -
M1   R26  C0   C bank6  PCLKT6_0               | -
M11  R47  C72  A bank3                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
M12  R44  C72  C bank3                         | -
M13  R35  C72  C bank3                         | -
M14  R32  C72  D bank3                         | -
M15  R26  C72  D bank3  PCLKC3_0               | -
M16  R26  C72  C bank3  PCLKT3_0               | -
M2   R26  C0   D bank6  PCLKC6_0               | -
M3   R32  C0   D bank6                         | -
M4   R35  C0   C bank6                         | -
M5   R44  C0   C bank6                         | -
M6   R47  C0   A bank6                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
M7   R50  C9   B bank8  D2/IO2                 | -
M8   R50  C15  B bank8  DOUT/CSON              | -
M9   R50  C18  A bank8  WRITEN                 | -
N1   R32  C0   A bank6                         | enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.MODE IREG_OREG; enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOA.DATAMUX_OREG IOLDO
N11  R47  C72  B bank3                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
N12  R44  C72  D bank3                         | -
N13  R38  C72  A bank3                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
N14  R35  C72  D bank3                         | -
N16  R32  C72  A bank3                         | -
N3   R35  C0   D bank6                         | -
N4   R38  C0   A bank6                         | enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.MODE IREG_OREG; enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOA.DATAMUX_OREG IOLDO
N5   R44  C0   D bank6                         | -
N6   R47  C0   B bank6                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
N7   R50  C9   A bank8  D3/IO3                 | enum: PIOA.BASE_TYPE OUTPUT_LVCMOS25; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.PULLMODE NONE
N8   R50  C15  A bank8  HOLDN/DI/BUSY/CSSPIN/CEN | enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.OUTREG.REGSET SET; enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DATAMUX_OREG IOLDO; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE
P1   R35  C0   A bank6                         | enum: IOLOGICA.CEIMUX 1; enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.LSROMUX LSRMUX; enum: IOLOGICA.MODE IDDRX1_ODDRX1; enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOA.DATAMUX_ODDR IOLDO
P11  R47  C72  C bank3  LRC_GPLL0T_IN          | -
P12  R47  C72  D bank3  LRC_GPLL0C_IN          | -
P13  R41  C72  A bank3                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
P14  R38  C72  B bank3                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
P15  R32  C72  B bank3                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
P16  R35  C72  A bank3                         | word: IOLOGICA.DELAY.DEL_VALUE 0100111; enum: IOLOGICA.CEIMUX 1; enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.LSROMUX LSRMUX; enum: IOLOGICA.MODE IDDRX1_ODDRX1
P2   R32  C0   B bank6                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
P3   R38  C0   B bank6                         | enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.MODE IREG_OREG; enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOB.DATAMUX_OREG IOLDO
P4   R41  C0   A bank6                         | enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.MODE IREG_OREG; enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOA.DATAMUX_OREG IOLDO
P5   R47  C0   D bank6  LLC_GPLL0C_IN          | -
P6   R47  C0   C bank6  LLC_GPLL0T_IN          | -
P7   R50  C6   B bank8  D4/MOSI2/IO4           | -
P8   R50  C13  B bank8  CS1N                   | -
