offset_hex,offset_dec,n_unique,top_values,class,best_hypothesis,evidence,counterexamples,agr_S,agr_W,agr_H,agr_chip,agr_geo,agr_chip+S,agr_chip+geo
0x0ed,237,15,0:647 64:414 3:112,unknown,,best key chip+geo: agr=0.893 shuf=0.677,0,0.604,0.595,0.596,0.659,0.674,0.821,0.893
0x0ee,238,11,0:1018 17:118 96:36,unknown,,best key chip+geo: agr=0.929 shuf=0.857,0,0.836,0.842,0.853,0.851,0.875,0.888,0.929
0x0ef,239,15,0:651 64:414 3:112,unknown,,best key chip+geo: agr=0.891 shuf=0.682,0,0.607,0.598,0.600,0.662,0.678,0.819,0.891
0x0f0,240,2,0:1218 50:1,near-constant,~const 0x00,1218/1219,1,0.999,1.000,0.999,0.999,1.000,0.999,1.000
0x0f1,241,2,0:1218 2:1,near-constant,~const 0x00,1218/1219,1,0.999,1.000,0.999,0.999,1.000,0.999,1.000
0x0f2,242,3,0:1215 255:3 50:1,near-constant,~const 0x00,1215/1219,4,0.997,0.998,0.997,0.997,0.998,0.997,0.998
0x0f3,243,1,100:1219,constant,const 0x64,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0f4,244,2,0:1208 1:11,near-constant,~const 0x00,1208/1219,11,0.991,0.991,0.991,0.991,0.991,0.992,0.993
0x0f5,245,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0f6,246,2,128:1178 129:41,unknown,,best key chip+geo: agr=0.992 shuf=0.970,0,0.970,0.975,0.978,0.966,0.987,0.975,0.992
0x0f7,247,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0f8,248,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x0f9,249,2,0:1046 1:173,likely-determined-by:chip+S,consistent within chip+S groups,agr=0.962 shuf=0.871 G=254,46,0.901,0.877,0.895,0.865,0.909,0.962,0.969
0x0fa,250,2,0:1120 1:99,unknown,,best key chip+S: agr=0.949 shuf=0.924,0,0.919,0.919,0.919,0.927,0.919,0.949,0.952
0x0fb,251,9,0:1048 8:65 9:57,unknown,,best key chip+S: agr=0.896 shuf=0.863,0,0.860,0.860,0.860,0.864,0.860,0.896,0.901
0x0fc,252,15,0:703 1:366 76:40,unknown,,best key chip+geo: agr=0.857 shuf=0.682,0,0.643,0.631,0.619,0.604,0.692,0.796,0.857
0x0fd,253,5,0:682 128:511 92:19,unknown,,best key chip+geo: agr=0.898 shuf=0.715,0,0.714,0.651,0.674,0.600,0.747,0.827,0.898
0x0fe,254,7,0:679 128:511 110:19,unknown,,best key chip+geo: agr=0.897 shuf=0.714,0,0.712,0.649,0.673,0.597,0.745,0.825,0.897
0x0ff,255,6,0:648 128:511 94:56,unknown,,best key chip+geo: agr=0.894 shuf=0.700,0,0.703,0.651,0.664,0.584,0.747,0.826,0.894
0x100,256,6,0:681 128:511 200:19,unknown,,best key chip+geo: agr=0.897 shuf=0.714,0,0.713,0.651,0.674,0.599,0.746,0.826,0.897
0x101,257,5,0:1189 1:24 92:4,unknown,,best key chip+geo: agr=0.990 shuf=0.980,0,0.975,0.976,0.975,0.975,0.977,0.979,0.990
0x102,258,10,255:660 0:472 95:56,unknown,,"best key geo(W,H,S): agr=0.782 shuf=0.560",0,0.731,0.655,0.693,0.578,0.782,0.826,0.896
0x103,259,3,255:660 0:558 117:1,unknown,,"best key geo(W,H,S): agr=0.799 shuf=0.572",0,0.772,0.671,0.733,0.606,0.799,0.848,0.906
0x104,260,7,0:1132 1:58 136:19,unknown,,best key chip+geo: agr=0.978 shuf=0.939,0,0.929,0.943,0.929,0.929,0.944,0.950,0.978
0x105,261,7,0:1188 92:19 97:6,unknown,,best key chip+geo: agr=0.991 shuf=0.979,0,0.975,0.975,0.975,0.975,0.976,0.979,0.991
0x106,262,5,0:1191 110:19 105:6,unknown,,best key chip+geo: agr=0.993 shuf=0.982,0,0.977,0.978,0.977,0.977,0.978,0.981,0.993
0x107,263,5,0:1153 1:58 118:6,unknown,,best key chip+geo: agr=0.980 shuf=0.954,0,0.946,0.960,0.946,0.946,0.961,0.963,0.980
0x108,264,8,255:660 0:474 1:56,unknown,,"best key geo(W,H,S): agr=0.783 shuf=0.560",0,0.732,0.656,0.694,0.579,0.783,0.827,0.897
0x109,265,4,255:660 0:534 92:19,unknown,,"best key geo(W,H,S): agr=0.790 shuf=0.568",0,0.757,0.664,0.719,0.595,0.790,0.839,0.903
0x10a,266,6,0:1134 1:58 110:19,unknown,,best key chip+geo: agr=0.978 shuf=0.941,0,0.930,0.945,0.930,0.930,0.946,0.951,0.978
0x10b,267,5,0:1159 2:56 46:2,unknown,,best key chip+geo: agr=0.984 shuf=0.957,0,0.951,0.965,0.951,0.951,0.966,0.968,0.984
0x10c,268,5,0:1190 96:19 216:7,unknown,,best key chip+geo: agr=0.993 shuf=0.981,0,0.976,0.977,0.976,0.976,0.977,0.980,0.993
0x10d,269,8,0:1131 1:58 68:19,unknown,,best key chip+geo: agr=0.978 shuf=0.938,0,0.928,0.943,0.928,0.928,0.943,0.949,0.978
0x10e,270,11,255:660 0:470 3:56,unknown,,"best key geo(W,H,S): agr=0.780 shuf=0.560",0,0.729,0.654,0.692,0.576,0.780,0.825,0.896
0x10f,271,4,255:660 0:539 118:19,unknown,,"best key geo(W,H,S): agr=0.794 shuf=0.569",0,0.761,0.664,0.723,0.598,0.794,0.842,0.906
0x110,272,8,0:1131 1:58 168:19,unknown,,best key chip+geo: agr=0.977 shuf=0.938,0,0.928,0.943,0.928,0.928,0.943,0.949,0.977
0x111,273,9,0:1131 4:56 239:19,unknown,,best key chip+geo: agr=0.977 shuf=0.938,0,0.928,0.943,0.928,0.928,0.943,0.949,0.977
0x112,274,6,0:1208 70:6 25:2,near-constant,~const 0x00,1208/1219,11,0.991,0.991,0.991,0.991,0.991,0.992,0.994
0x113,275,5,0:1156 1:58 118:3,unknown,,best key chip+geo: agr=0.984 shuf=0.954,0,0.948,0.962,0.948,0.948,0.963,0.966,0.984
0x114,276,1,0:1219,annotated-const,96-entry row map (identity default),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x115,277,2,1:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x116,278,2,2:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x117,279,2,3:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
